股票代碼,股票名稱,策略,總報酬率 (%),年化報酬率 (%),波動率 (%),夏普比率,最大回撤 (%),勝率 (%),交易次數
2330.TW,台積電,RSI,161.43,10.47,15.79,0.66,-37.47,53.31,9
2330.TW,台積電,MACD,440.96,19.12,17.66,1.08,-25.49,54.14,95
2330.TW,台積電,MA_CROSS,423.99,18.73,19.31,0.97,-24.75,52.50,74
2330.TW,台積電,BOLLINGER,134.38,9.23,17.64,0.52,-25.25,53.14,22
2330.TW,台積電,STOCHASTIC,26.58,2.47,17.05,0.15,-44.73,51.01,28
2454.TW,聯發科,RSI,260.77,14.23,22.84,0.62,-38.96,52.72,10
2454.TW,聯發科,MACD,142.32,9.61,24.86,0.39,-42.39,48.69,101
2454.TW,聯發科,MA_CROSS,667.54,23.52,26.92,0.87,-34.43,50.04,74
2454.TW,聯發科,BOLLINGER,163.53,10.57,23.71,0.45,-34.94,51.84,25
2454.TW,聯發科,STOCHASTIC,47.97,4.15,22.62,0.18,-43.40,51.19,26
2317.TW,鴻海,RSI,43.15,3.79,18.74,0.20,-50.99,50.99,9
2317.TW,鴻海,MACD,182.13,11.35,18.66,0.61,-25.35,50.87,91
2317.TW,鴻海,MA_CROSS,296.25,15.34,19.61,0.78,-27.87,52.13,65
2317.TW,鴻海,BOLLINGER,0.26,0.03,19.96,0.00,-48.90,51.21,22
2317.TW,鴻海,STOCHASTIC,-27.43,-3.27,19.98,-0.16,-46.28,49.37,27
2412.TW,中華電,RSI,1.57,0.16,4.10,0.04,-13.08,51.79,3
2412.TW,中華電,MACD,0.55,0.06,7.36,0.01,-19.24,52.17,111
2412.TW,中華電,MA_CROSS,17.71,1.71,8.13,0.21,-14.20,53.54,84
2412.TW,中華電,BOLLINGER,39.61,3.52,6.55,0.54,-11.11,52.84,24
2412.TW,中華電,STOCHASTIC,6.63,0.67,6.09,0.11,-14.16,51.64,19
2881.TW,富邦金,RSI,54.57,4.62,12.57,0.37,-30.67,54.69,9
2881.TW,富邦金,MACD,140.50,9.52,14.20,0.67,-27.67,53.41,88
2881.TW,富邦金,MA_CROSS,157.32,10.29,16.08,0.64,-27.04,51.45,80
2881.TW,富邦金,BOLLINGER,85.27,6.60,13.99,0.47,-30.57,55.63,25
2881.TW,富邦金,STOCHASTIC,61.30,5.08,12.20,0.42,-25.02,55.24,26
2882.TW,國泰金,RSI,55.16,4.66,15.49,0.30,-39.97,51.31,8
2882.TW,國泰金,MACD,87.28,6.72,14.63,0.46,-24.87,51.33,95
2882.TW,國泰金,MA_CROSS,166.73,10.70,16.02,0.67,-32.92,51.37,82
2882.TW,國泰金,BOLLINGER,8.24,0.82,14.69,0.06,-43.38,50.87,21
2882.TW,國泰金,STOCHASTIC,42.87,3.77,13.43,0.28,-26.19,51.70,30
